seq1	seq2	score	gap_open	gap_extend	label
prot-0065	prot-0069	60.0	4	5	Positive
prot-0077	prot-0082	68.0	4	5	Positive
prot-0098	prot-0102	27.0	4	5	Positive
prot-0124	prot-0125	47.0	4	5	Positive
prot-0166	prot-0177	31.0	4	5	Positive
prot-0170	prot-0173	39.0	4	5	Positive
prot-0175	prot-0178	37.0	4	5	Positive
prot-0187	prot-0190	39.0	4	5	Positive
prot-0240	prot-0242	42.0	4	5	Positive
prot-0271	prot-0275	71.0	4	5	Positive
prot-0298	prot-0300	50.0	4	5	Positive
prot-0326	prot-0327	75.0	4	5	Positive
prot-0354	prot-0355	42.0	4	5	Positive
prot-0357	prot-0360	30.0	4	5	Positive
prot-0361	prot-0364	57.0	4	5	Positive
prot-0369	prot-0370	40.0	4	5	Positive
prot-0380	prot-0384	46.0	4	5	Positive
prot-0384	prot-0392	51.0	4	5	Positive
prot-0410	prot-0412	46.0	4	5	Positive
prot-0459	prot-0461	41.0	4	5	Positive
prot-0465	prot-0466	46.0	4	5	Positive
prot-0484	prot-0485	61.0	4	5	Positive
prot-0507	prot-0509	39.0	4	5	Positive
prot-0533	prot-0534	53.0	4	5	Positive
prot-0570	prot-0572	66.0	4	5	Positive
prot-0580	prot-0615	38.0	4	5	Positive
prot-0582	prot-0586	34.0	4	5	Positive
prot-0583	prot-0598	54.0	4	5	Positive
prot-0584	prot-0611	43.0	4	5	Positive
prot-0586	prot-0590	61.0	4	5	Positive
prot-0587	prot-0606	35.0	4	5	Positive
prot-0589	prot-0591	35.0	4	5	Positive
prot-0590	prot-0610	42.0	4	5	Positive
prot-0592	prot-0601	53.0	4	5	Positive
prot-0594	prot-0596	51.0	4	5	Positive
prot-0595	prot-0620	36.0	4	5	Positive
prot-0597	prot-0621	32.0	4	5	Positive
prot-0600	prot-0605	30.0	4	5	Positive
prot-0602	prot-0616	26.0	4	5	Positive
prot-0605	prot-0615	37.0	4	5	Positive
prot-0609	prot-0611	91.0	4	5	Positive
prot-0614	prot-0616	117.0	4	5	Positive
prot-0659	prot-0661	48.0	4	5	Positive
prot-0735	prot-0736	47.0	4	5	Positive
prot-0776	prot-0779	268.0	4	5	Positive
prot-0829	prot-0832	48.0	4	5	Positive
prot-0860	prot-0862	42.0	4	5	Positive
prot-0018	prot-0198	31.0	4	5	Negative
prot-0035	prot-0071	27.0	4	5	Negative
prot-0056	prot-0826	18.0	4	5	Negative
prot-0075	prot-0561	28.0	4	5	Negative
prot-0093	prot-0091	40.0	4	5	Negative
prot-0110	prot-0613	25.0	4	5	Negative
prot-0131	prot-0547	51.0	4	5	Negative
prot-0148	prot-0369	22.0	4	5	Negative
prot-0166	prot-0839	19.0	4	5	Negative
prot-0186	prot-0014	18.0	4	5	Negative
prot-0206	prot-0313	50.0	4	5	Negative
prot-0228	prot-0121	21.0	4	5	Negative
prot-0244	prot-0817	23.0	4	5	Negative
prot-0262	prot-0540	34.0	4	5	Negative
prot-0286	prot-0641	44.0	4	5	Negative
prot-0305	prot-0785	48.0	4	5	Negative
prot-0326	prot-0712	27.0	4	5	Negative
prot-0346	prot-0063	32.0	4	5	Negative
prot-0363	prot-0345	27.0	4	5	Negative
prot-0380	prot-0553	42.0	4	5	Negative
prot-0397	prot-0470	48.0	4	5	Negative
prot-0414	prot-0903	28.0	4	5	Negative
prot-0431	prot-0093	31.0	4	5	Negative
prot-0446	prot-0424	45.0	4	5	Negative
prot-0469	prot-0609	36.0	4	5	Negative
prot-0486	prot-0314	20.0	4	5	Negative
prot-0503	prot-0454	38.0	4	5	Negative
prot-0520	prot-0088	35.0	4	5	Negative
prot-0536	prot-0452	38.0	4	5	Negative
prot-0552	prot-0460	35.0	4	5	Negative
prot-0571	prot-0711	53.0	4	5	Negative
prot-0595	prot-0503	34.0	4	5	Negative
prot-0616	prot-0819	26.0	4	5	Negative
prot-0631	prot-0386	37.0	4	5	Negative
prot-0648	prot-0022	23.0	4	5	Negative
prot-0665	prot-0100	49.0	4	5	Negative
prot-0682	prot-0873	23.0	4	5	Negative
prot-0699	prot-0760	29.0	4	5	Negative
prot-0716	prot-0710	22.0	4	5	Negative
prot-0734	prot-0108	27.0	4	5	Negative
prot-0750	prot-0875	18.0	4	5	Negative
prot-0772	prot-0886	24.0	4	5	Negative
prot-0791	prot-0245	41.0	4	5	Negative
prot-0805	prot-0261	34.0	4	5	Negative
prot-0821	prot-0591	47.0	4	5	Negative
prot-0843	prot-0026	28.0	4	5	Negative
prot-0860	prot-0510	25.0	4	5	Negative
prot-0878	prot-0524	16.0	4	5	Negative
prot-0900	prot-0264	28.0	4	5	Negative
prot-0915	prot-0407	33.0	4	5	Negative
prot-0004	prot-0008	47.0	5	1	Positive
prot-0031	prot-0034	66.0	5	1	Positive
prot-0047	prot-0050	56.0	5	1	Positive
prot-0065	prot-0069	73.0	5	1	Positive
prot-0077	prot-0082	103.0	5	1	Positive
prot-0098	prot-0102	26.0	5	1	Positive
prot-0124	prot-0125	94.0	5	1	Positive
prot-0166	prot-0177	34.0	5	1	Positive
prot-0170	prot-0173	37.0	5	1	Positive
prot-0175	prot-0178	44.0	5	1	Positive
prot-0187	prot-0190	63.0	5	1	Positive
prot-0240	prot-0242	50.0	5	1	Positive
prot-0271	prot-0275	105.0	5	1	Positive
prot-0298	prot-0300	72.0	5	1	Positive
prot-0326	prot-0327	114.0	5	1	Positive
prot-0354	prot-0355	56.0	5	1	Positive
prot-0357	prot-0360	42.0	5	1	Positive
prot-0361	prot-0364	118.0	5	1	Positive
prot-0369	prot-0370	78.0	5	1	Positive
prot-0380	prot-0384	97.0	5	1	Positive
prot-0384	prot-0392	96.0	5	1	Positive
prot-0410	prot-0412	78.0	5	1	Positive
prot-0459	prot-0461	70.0	5	1	Positive
prot-0465	prot-0466	92.0	5	1	Positive
prot-0484	prot-0485	89.0	5	1	Positive
prot-0507	prot-0509	58.0	5	1	Positive
prot-0533	prot-0534	134.0	5	1	Positive
prot-0570	prot-0572	77.0	5	1	Positive
prot-0580	prot-0615	53.0	5	1	Positive
prot-0582	prot-0586	49.0	5	1	Positive
prot-0583	prot-0598	86.0	5	1	Positive
prot-0584	prot-0611	69.0	5	1	Positive
prot-0586	prot-0590	79.0	5	1	Positive
prot-0587	prot-0606	63.0	5	1	Positive
prot-0589	prot-0591	88.0	5	1	Positive
prot-0590	prot-0610	59.0	5	1	Positive
prot-0592	prot-0601	76.0	5	1	Positive
prot-0594	prot-0596	65.0	5	1	Positive
prot-0595	prot-0620	58.0	5	1	Positive
prot-0597	prot-0621	39.0	5	1	Positive
prot-0600	prot-0605	39.0	5	1	Positive
prot-0602	prot-0616	47.0	5	1	Positive
prot-0605	prot-0615	36.0	5	1	Positive
prot-0609	prot-0611	111.0	5	1	Positive
prot-0614	prot-0616	145.0	5	1	Positive
prot-0659	prot-0661	58.0	5	1	Positive
prot-0735	prot-0736	117.0	5	1	Positive
prot-0776	prot-0779	288.0	5	1	Positive
prot-0829	prot-0832	66.0	5	1	Positive
prot-0860	prot-0862	55.0	5	1	Positive
prot-0018	prot-0198	38.0	5	1	Negative
prot-0035	prot-0071	33.0	5	1	Negative
prot-0056	prot-0826	19.0	5	1	Negative
prot-0075	prot-0561	51.0	5	1	Negative
prot-0093	prot-0091	40.0	5	1	Negative
prot-0110	prot-0613	32.0	5	1	Negative
prot-0131	prot-0547	67.0	5	1	Negative
prot-0148	prot-0369	22.0	5	1	Negative
prot-0166	prot-0839	25.0	5	1	Negative
prot-0186	prot-0014	22.0	5	1	Negative
prot-0206	prot-0313	72.0	5	1	Negative
prot-0228	prot-0121	24.0	5	1	Negative
prot-0244	prot-0817	27.0	5	1	Negative
prot-0262	prot-0540	67.0	5	1	Negative
prot-0286	prot-0641	60.0	5	1	Negative
prot-0305	prot-0785	52.0	5	1	Negative
prot-0326	prot-0712	27.0	5	1	Negative
prot-0346	prot-0063	39.0	5	1	Negative
prot-0363	prot-0345	27.0	5	1	Negative
prot-0380	prot-0553	69.0	5	1	Negative
prot-0397	prot-0470	75.0	5	1	Negative
prot-0414	prot-0903	39.0	5	1	Negative
prot-0431	prot-0093	30.0	5	1	Negative
prot-0446	prot-0424	74.0	5	1	Negative
prot-0469	prot-0609	58.0	5	1	Negative
prot-0486	prot-0314	28.0	5	1	Negative
prot-0503	prot-0454	43.0	5	1	Negative
prot-0520	prot-0088	64.0	5	1	Negative
prot-0536	prot-0452	79.0	5	1	Negative
prot-0552	prot-0460	49.0	5	1	Negative
prot-0571	prot-0711	110.0	5	1	Negative
prot-0595	prot-0503	56.0	5	1	Negative
prot-0616	prot-0819	31.0	5	1	Negative
prot-0631	prot-0386	55.0	5	1	Negative
prot-0648	prot-0022	28.0	5	1	Negative
prot-0665	prot-0100	50.0	5	1	Negative
prot-0682	prot-0873	29.0	5	1	Negative
prot-0699	prot-0760	38.0	5	1	Negative
prot-0716	prot-0710	32.0	5	1	Negative
prot-0734	prot-0108	27.0	5	1	Negative
prot-0750	prot-0875	18.0	5	1	Negative
prot-0772	prot-0886	30.0	5	1	Negative
prot-0791	prot-0245	63.0	5	1	Negative
prot-0805	prot-0261	51.0	5	1	Negative
prot-0821	prot-0591	66.0	5	1	Negative
prot-0843	prot-0026	35.0	5	1	Negative
prot-0860	prot-0510	27.0	5	1	Negative
prot-0878	prot-0524	19.0	5	1	Negative
prot-0900	prot-0264	33.0	5	1	Negative
prot-0915	prot-0407	44.0	5	1	Negative
prot-0004	prot-0008	32.0	5	2	Positive
prot-0031	prot-0034	49.0	5	2	Positive
prot-0047	prot-0050	36.0	5	2	Positive
prot-0065	prot-0069	67.0	5	2	Positive
prot-0077	prot-0082	82.0	5	2	Positive
prot-0098	prot-0102	26.0	5	2	Positive
prot-0124	prot-0125	55.0	5	2	Positive
prot-0166	prot-0177	32.0	5	2	Positive
prot-0170	prot-0173	35.0	5	2	Positive
prot-0175	prot-0178	37.0	5	2	Positive
prot-0187	prot-0190	51.0	5	2	Positive
prot-0240	prot-0242	39.0	5	2	Positive
prot-0271	prot-0275	83.0	5	2	Positive
prot-0298	prot-0300	58.0	5	2	Positive
prot-0326	prot-0327	103.0	5	2	Positive
prot-0354	prot-0355	43.0	5	2	Positive
prot-0357	prot-0360	30.0	5	2	Positive
prot-0361	prot-0364	64.0	5	2	Positive
prot-0369	prot-0370	44.0	5	2	Positive
prot-0380	prot-0384	54.0	5	2	Positive
prot-0384	prot-0392	54.0	5	2	Positive
prot-0410	prot-0412	56.0	5	2	Positive
prot-0459	prot-0461	51.0	5	2	Positive
prot-0465	prot-0466	68.0	5	2	Positive
prot-0484	prot-0485	81.0	5	2	Positive
prot-0507	prot-0509	37.0	5	2	Positive
prot-0533	prot-0534	72.0	5	2	Positive
prot-0570	prot-0572	62.0	5	2	Positive
prot-0580	prot-0615	38.0	5	2	Positive
prot-0582	prot-0586	39.0	5	2	Positive
prot-0583	prot-0598	67.0	5	2	Positive
prot-0584	prot-0611	53.0	5	2	Positive
prot-0586	prot-0590	63.0	5	2	Positive
prot-0587	prot-0606	42.0	5	2	Positive
prot-0589	prot-0591	52.0	5	2	Positive
prot-0590	prot-0610	43.0	5	2	Positive
prot-0592	prot-0601	42.0	5	2	Positive
prot-0594	prot-0596	51.0	5	2	Positive
prot-0595	prot-0620	42.0	5	2	Positive
prot-0597	prot-0621	29.0	5	2	Positive
prot-0600	prot-0605	31.0	5	2	Positive
prot-0602	prot-0616	34.0	5	2	Positive
prot-0605	prot-0615	34.0	5	2	Positive
prot-0609	prot-0611	94.0	5	2	Positive
prot-0614	prot-0616	128.0	5	2	Positive
prot-0659	prot-0661	47.0	5	2	Positive
prot-0735	prot-0736	67.0	5	2	Positive
prot-0776	prot-0779	282.0	5	2	Positive
prot-0829	prot-0832	61.0	5	2	Positive
prot-0860	prot-0862	50.0	5	2	Positive
prot-0018	prot-0198	31.0	5	2	Negative
prot-0035	prot-0071	25.0	5	2	Negative
prot-0056	prot-0826	18.0	5	2	Negative
prot-0075	prot-0561	32.0	5	2	Negative
prot-0093	prot-0091	39.0	5	2	Negative
prot-0110	prot-0613	27.0	5	2	Negative
prot-0131	prot-0547	51.0	5	2	Negative
prot-0148	prot-0369	21.0	5	2	Negative
prot-0166	prot-0839	19.0	5	2	Negative
prot-0186	prot-0014	17.0	5	2	Negative
prot-0206	prot-0313	57.0	5	2	Negative
prot-0228	prot-0121	20.0	5	2	Negative
prot-0244	prot-0817	23.0	5	2	Negative
prot-0262	prot-0540	46.0	5	2	Negative
prot-0286	prot-0641	46.0	5	2	Negative
prot-0305	prot-0785	44.0	5	2	Negative
prot-0326	prot-0712	25.0	5	2	Negative
prot-0346	prot-0063	33.0	5	2	Negative
prot-0363	prot-0345	27.0	5	2	Negative
prot-0380	prot-0553	40.0	5	2	Negative
prot-0397	prot-0470	56.0	5	2	Negative
prot-0414	prot-0903	28.0	5	2	Negative
prot-0431	prot-0093	27.0	5	2	Negative
prot-0446	prot-0424	48.0	5	2	Negative
prot-0469	prot-0609	38.0	5	2	Negative
prot-0486	prot-0314	24.0	5	2	Negative
prot-0503	prot-0454	32.0	5	2	Negative
prot-0520	prot-0088	36.0	5	2	Negative
prot-0536	prot-0452	44.0	5	2	Negative
prot-0552	prot-0460	43.0	5	2	Negative
prot-0571	prot-0711	59.0	5	2	Negative
prot-0595	prot-0503	34.0	5	2	Negative
prot-0616	prot-0819	29.0	5	2	Negative
prot-0631	prot-0386	38.0	5	2	Negative
prot-0648	prot-0022	25.0	5	2	Negative
prot-0665	prot-0100	48.0	5	2	Negative
prot-0682	prot-0873	25.0	5	2	Negative
prot-0699	prot-0760	32.0	5	2	Negative
prot-0716	prot-0710	26.0	5	2	Negative
prot-0734	prot-0108	25.0	5	2	Negative
prot-0750	prot-0875	18.0	5	2	Negative
prot-0772	prot-0886	27.0	5	2	Negative
prot-0791	prot-0245	41.0	5	2	Negative
prot-0805	prot-0261	34.0	5	2	Negative
prot-0821	prot-0591	49.0	5	2	Negative
prot-0843	prot-0026	28.0	5	2	Negative
prot-0860	prot-0510	23.0	5	2	Negative
prot-0878	prot-0524	15.0	5	2	Negative
prot-0900	prot-0264	30.0	5	2	Negative
prot-0915	prot-0407	36.0	5	2	Negative
prot-0004	prot-0008	29.0	5	3	Positive
prot-0031	prot-0034	45.0	5	3	Positive
prot-0047	prot-0050	32.0	5	3	Positive
prot-0065	prot-0069	61.0	5	3	Positive
prot-0077	prot-0082	68.0	5	3	Positive
prot-0098	prot-0102	26.0	5	3	Positive
prot-0124	prot-0125	46.0	5	3	Positive
prot-0166	prot-0177	30.0	5	3	Positive
prot-0170	prot-0173	35.0	5	3	Positive
prot-0175	prot-0178	33.0	5	3	Positive
prot-0187	prot-0190	43.0	5	3	Positive
prot-0240	prot-0242	38.0	5	3	Positive
prot-0271	prot-0275	67.0	5	3	Positive
prot-0298	prot-0300	45.0	5	3	Positive
prot-0326	prot-0327	92.0	5	3	Positive
prot-0354	prot-0355	35.0	5	3	Positive
prot-0357	prot-0360	29.0	5	3	Positive
prot-0361	prot-0364	57.0	5	3	Positive
prot-0369	prot-0370	37.0	5	3	Positive
prot-0380	prot-0384	43.0	5	3	Positive
prot-0384	prot-0392	51.0	5	3	Positive
prot-0410	prot-0412	41.0	5	3	Positive
prot-0459	prot-0461	42.0	5	3	Positive
prot-0465	prot-0466	56.0	5	3	Positive
prot-0484	prot-0485	73.0	5	3	Positive
prot-0507	prot-0509	36.0	5	3	Positive
prot-0533	prot-0534	52.0	5	3	Positive
prot-0570	prot-0572	51.0	5	3	Positive
prot-0580	prot-0615	37.0	5	3	Positive
prot-0582	prot-0586	36.0	5	3	Positive
prot-0583	prot-0598	53.0	5	3	Positive
prot-0584	prot-0611	41.0	5	3	Positive
prot-0586	prot-0590	60.0	5	3	Positive
prot-0587	prot-0606	36.0	5	3	Positive
prot-0589	prot-0591	39.0	5	3	Positive
prot-0590	prot-0610	41.0	5	3	Positive
prot-0592	prot-0601	42.0	5	3	Positive
prot-0594	prot-0596	42.0	5	3	Positive
prot-0595	prot-0620	33.0	5	3	Positive
prot-0597	prot-0621	28.0	5	3	Positive
prot-0600	prot-0605	28.0	5	3	Positive
prot-0602	prot-0616	27.0	5	3	Positive
prot-0605	prot-0615	33.0	5	3	Positive
prot-0609	prot-0611	85.0	5	3	Positive
prot-0614	prot-0616	119.0	5	3	Positive
prot-0659	prot-0661	45.0	5	3	Positive
prot-0735	prot-0736	46.0	5	3	Positive
prot-0776	prot-0779	276.0	5	3	Positive
prot-0829	prot-0832	56.0	5	3	Positive
prot-0860	prot-0862	45.0	5	3	Positive
prot-0018	prot-0198	30.0	5	3	Negative
prot-0035	prot-0071	25.0	5	3	Negative
prot-0056	prot-0826	18.0	5	3	Negative
prot-0075	prot-0561	27.0	5	3	Negative
prot-0093	prot-0091	38.0	5	3	Negative
prot-0110	prot-0613	26.0	5	3	Negative
prot-0131	prot-0547	47.0	5	3	Negative
prot-0148	prot-0369	20.0	5	3	Negative
prot-0166	prot-0839	18.0	5	3	Negative
prot-0186	prot-0014	17.0	5	3	Negative
prot-0206	prot-0313	50.0	5	3	Negative
prot-0228	prot-0121	19.0	5	3	Negative
prot-0244	prot-0817	22.0	5	3	Negative
prot-0262	prot-0540	35.0	5	3	Negative
prot-0286	prot-0641	42.0	5	3	Negative
prot-0305	prot-0785	42.0	5	3	Negative
prot-0326	prot-0712	25.0	5	3	Negative
prot-0346	prot-0063	31.0	5	3	Negative
prot-0363	prot-0345	27.0	5	3	Negative
prot-0380	prot-0553	37.0	5	3	Negative
prot-0397	prot-0470	50.0	5	3	Negative
prot-0414	prot-0903	27.0	5	3	Negative
prot-0431	prot-0093	27.0	5	3	Negative
prot-0446	prot-0424	45.0	5	3	Negative
prot-0469	prot-0609	36.0	5	3	Negative
prot-0486	prot-0314	22.0	5	3	Negative
prot-0503	prot-0454	32.0	5	3	Negative
prot-0520	prot-0088	32.0	5	3	Negative
prot-0536	prot-0452	35.0	5	3	Negative
prot-0552	prot-0460	37.0	5	3	Negative
prot-0571	prot-0711	53.0	5	3	Negative
prot-0595	prot-0503	33.0	5	3	Negative
prot-0616	prot-0819	27.0	5	3	Negative
prot-0631	prot-0386	36.0	5	3	Negative
prot-0648	prot-0022	24.0	5	3	Negative
prot-0665	prot-0100	46.0	5	3	Negative
prot-0682	prot-0873	24.0	5	3	Negative
prot-0699	prot-0760	29.0	5	3	Negative
prot-0716	prot-0710	23.0	5	3	Negative
prot-0734	prot-0108	24.0	5	3	Negative
prot-0750	prot-0875	18.0	5	3	Negative
prot-0772	prot-0886	24.0	5	3	Negative
prot-0791	prot-0245	35.0	5	3	Negative
prot-0805	prot-0261	33.0	5	3	Negative
prot-0821	prot-0591	45.0	5	3	Negative
prot-0843	prot-0026	28.0	5	3	Negative
prot-0860	prot-0510	23.0	5	3	Negative
prot-0878	prot-0524	15.0	5	3	Negative
prot-0900	prot-0264	28.0	5	3	Negative
prot-0915	prot-0407	29.0	5	3	Negative
prot-0004	prot-0008	28.0	5	4	Positive
prot-0031	prot-0034	43.0	5	4	Positive
prot-0047	prot-0050	30.0	5	4	Positive
prot-0065	prot-0069	58.0	5	4	Positive
prot-0077	prot-0082	59.0	5	4	Positive
prot-0098	prot-0102	26.0	5	4	Positive
prot-0124	prot-0125	44.0	5	4	Positive
prot-0166	prot-0177	29.0	5	4	Positive
prot-0170	prot-0173	35.0	5	4	Positive
prot-0175	prot-0178	31.0	5	4	Positive
prot-0187	prot-0190	38.0	5	4	Positive
prot-0240	prot-0242	37.0	5	4	Positive
prot-0271	prot-0275	55.0	5	4	Positive
prot-0298	prot-0300	37.0	5	4	Positive
prot-0326	prot-0327	81.0	5	4	Positive
prot-0354	prot-0355	33.0	5	4	Positive
prot-0357	prot-0360	29.0	5	4	Positive
prot-0361	prot-0364	52.0	5	4	Positive
prot-0369	prot-0370	37.0	5	4	Positive
prot-0380	prot-0384	43.0	5	4	Positive
prot-0384	prot-0392	48.0	5	4	Positive
prot-0410	prot-0412	38.0	5	4	Positive
prot-0459	prot-0461	38.0	5	4	Positive
prot-0465	prot-0466	46.0	5	4	Positive
prot-0484	prot-0485	65.0	5	4	Positive
prot-0507	prot-0509	35.0	5	4	Positive
prot-0533	prot-0534	47.0	5	4	Positive
prot-0570	prot-0572	50.0	5	4	Positive
prot-0580	prot-0615	36.0	5	4	Positive
prot-0582	prot-0586	33.0	5	4	Positive
prot-0583	prot-0598	49.0	5	4	Positive
prot-0584	prot-0611	40.0	5	4	Positive
prot-0586	prot-0590	58.0	5	4	Positive
prot-0587	prot-0606	33.0	5	4	Positive
prot-0589	prot-0591	33.0	5	4	Positive
prot-0590	prot-0610	39.0	5	4	Positive
prot-0592	prot-0601	42.0	5	4	Positive
prot-0594	prot-0596	41.0	5	4	Positive
prot-0595	prot-0620	30.0	5	4	Positive
prot-0597	prot-0621	28.0	5	4	Positive
prot-0600	prot-0605	28.0	5	4	Positive
prot-0602	prot-0616	26.0	5	4	Positive
prot-0605	prot-0615	33.0	5	4	Positive
prot-0609	prot-0611	79.0	5	4	Positive
prot-0614	prot-0616	113.0	5	4	Positive
prot-0659	prot-0661	44.0	5	4	Positive
prot-0735	prot-0736	41.0	5	4	Positive
prot-0776	prot-0779	270.0	5	4	Positive
prot-0829	prot-0832	51.0	5	4	Positive
prot-0860	prot-0862	40.0	5	4	Positive
prot-0018	prot-0198	30.0	5	4	Negative
prot-0035	prot-0071	25.0	5	4	Negative
prot-0056	prot-0826	18.0	5	4	Negative
prot-0075	prot-0561	26.0	5	4	Negative
prot-0093	prot-0091	37.0	5	4	Negative
prot-0110	prot-0613	25.0	5	4	Negative
prot-0131	prot-0547	46.0	5	4	Negative
prot-0148	prot-0369	20.0	5	4	Negative
prot-0166	prot-0839	18.0	5	4	Negative
prot-0186	prot-0014	17.0	5	4	Negative
prot-0206	prot-0313	46.0	5	4	Negative
prot-0228	prot-0121	19.0	5	4	Negative
prot-0244	prot-0817	22.0	5	4	Negative
prot-0262	prot-0540	32.0	5	4	Negative
prot-0286	prot-0641	42.0	5	4	Negative
prot-0305	prot-0785	40.0	5	4	Negative
prot-0326	prot-0712	25.0	5	4	Negative
prot-0346	prot-0063	31.0	5	4	Negative
prot-0363	prot-0345	27.0	5	4	Negative
prot-0380	prot-0553	34.0	5	4	Negative
prot-0397	prot-0470	45.0	5	4	Negative
prot-0414	prot-0903	27.0	5	4	Negative
prot-0431	prot-0093	27.0	5	4	Negative
prot-0446	prot-0424	43.0	5	4	Negative
prot-0469	prot-0609	34.0	5	4	Negative
prot-0486	prot-0314	20.0	5	4	Negative
prot-0503	prot-0454	32.0	5	4	Negative
prot-0520	prot-0088	31.0	5	4	Negative
prot-0536	prot-0452	34.0	5	4	Negative
prot-0552	prot-0460	33.0	5	4	Negative
prot-0571	prot-0711	51.0	5	4	Negative
prot-0595	prot-0503	32.0	5	4	Negative
prot-0616	prot-0819	26.0	5	4	Negative
prot-0631	prot-0386	36.0	5	4	Negative
prot-0648	prot-0022	23.0	5	4	Negative
prot-0665	prot-0100	45.0	5	4	Negative
prot-0682	prot-0873	23.0	5	4	Negative
prot-0699	prot-0760	29.0	5	4	Negative
prot-0716	prot-0710	22.0	5	4	Negative
prot-0734	prot-0108	24.0	5	4	Negative
prot-0750	prot-0875	18.0	5	4	Negative
prot-0772	prot-0886	23.0	5	4	Negative
prot-0791	prot-0245	35.0	5	4	Negative
prot-0805	prot-0261	33.0	5	4	Negative
prot-0821	prot-0591	42.0	5	4	Negative
prot-0843	prot-0026	28.0	5	4	Negative
prot-0860	prot-0510	23.0	5	4	Negative
prot-0878	prot-0524	15.0	5	4	Negative
prot-0900	prot-0264	27.0	5	4	Negative
prot-0915	prot-0407	29.0	5	4	Negative
prot-0004	prot-0008	27.0	5	5	Positive
prot-0031	prot-0034	42.0	5	5	Positive
prot-0047	prot-0050	30.0	5	5	Positive
prot-0065	prot-0069	58.0	5	5	Positive
prot-0077	prot-0082	53.0	5	5	Positive
prot-0098	prot-0102	26.0	5	5	Positive
prot-0124	prot-0125	42.0	5	5	Positive
prot-0166	prot-0177	28.0	5	5	Positive
prot-0170	prot-0173	35.0	5	5	Positive
prot-0175	prot-0178	31.0	5	5	Positive
prot-0187	prot-0190	34.0	5	5	Positive
prot-0240	prot-0242	37.0	5	5	Positive
prot-0271	prot-0275	51.0	5	5	Positive
prot-0298	prot-0300	34.0	5	5	Positive
prot-0326	prot-0327	70.0	5	5	Positive
prot-0354	prot-0355	33.0	5	5	Positive
prot-0357	prot-0360	29.0	5	5	Positive
prot-0361	prot-0364	49.0	5	5	Positive
prot-0369	prot-0370	37.0	5	5	Positive
prot-0380	prot-0384	43.0	5	5	Positive
prot-0384	prot-0392	45.0	5	5	Positive
prot-0410	prot-0412	36.0	5	5	Positive
prot-0459	prot-0461	37.0	5	5	Positive
prot-0465	prot-0466	39.0	5	5	Positive
prot-0484	prot-0485	61.0	5	5	Positive
prot-0507	prot-0509	35.0	5	5	Positive
prot-0533	prot-0534	45.0	5	5	Positive
prot-0570	prot-0572	49.0	5	5	Positive
prot-0580	prot-0615	35.0	5	5	Positive
prot-0582	prot-0586	31.0	5	5	Positive
prot-0583	prot-0598	46.0	5	5	Positive
prot-0584	prot-0611	39.0	5	5	Positive
prot-0586	prot-0590	56.0	5	5	Positive
prot-0587	prot-0606	31.0	5	5	Positive
prot-0589	prot-0591	29.0	5	5	Positive
prot-0590	prot-0610	39.0	5	5	Positive
prot-0592	prot-0601	42.0	5	5	Positive
prot-0594	prot-0596	40.0	5	5	Positive
prot-0595	prot-0620	30.0	5	5	Positive
prot-0597	prot-0621	28.0	5	5	Positive
prot-0600	prot-0605	28.0	5	5	Positive
prot-0602	prot-0616	25.0	5	5	Positive
prot-0605	prot-0615	33.0	5	5	Positive
prot-0609	prot-0611	78.0	5	5	Positive
prot-0614	prot-0616	109.0	5	5	Positive
prot-0659	prot-0661	43.0	5	5	Positive
prot-0735	prot-0736	36.0	5	5	Positive
prot-0776	prot-0779	265.0	5	5	Positive
prot-0829	prot-0832	46.0	5	5	Positive
prot-0860	prot-0862	36.0	5	5	Positive
prot-0018	prot-0198	30.0	5	5	Negative
prot-0035	prot-0071	25.0	5	5	Negative
prot-0056	prot-0826	18.0	5	5	Negative
prot-0075	prot-0561	25.0	5	5	Negative
prot-0093	prot-0091	36.0	5	5	Negative
prot-0110	prot-0613	24.0	5	5	Negative
prot-0131	prot-0547	45.0	5	5	Negative
prot-0148	prot-0369	20.0	5	5	Negative
prot-0166	prot-0839	18.0	5	5	Negative
prot-0186	prot-0014	17.0	5	5	Negative
prot-0206	prot-0313	42.0	5	5	Negative
prot-0228	prot-0121	19.0	5	5	Negative
prot-0244	prot-0817	22.0	5	5	Negative
prot-0262	prot-0540	29.0	5	5	Negative
prot-0286	prot-0641	42.0	5	5	Negative
prot-0305	prot-0785	38.0	5	5	Negative
prot-0326	prot-0712	25.0	5	5	Negative
prot-0346	prot-0063	31.0	5	5	Negative
prot-0363	prot-0345	27.0	5	5	Negative
prot-0380	prot-0553	34.0	5	5	Negative
prot-0397	prot-0470	42.0	5	5	Negative
prot-0414	prot-0903	27.0	5	5	Negative
prot-0431	prot-0093	27.0	5	5	Negative
prot-0446	prot-0424	42.0	5	5	Negative
prot-0469	prot-0609	32.0	5	5	Negative
prot-0486	prot-0314	20.0	5	5	Negative
prot-0503	prot-0454	32.0	5	5	Negative
prot-0520	prot-0088	30.0	5	5	Negative
prot-0536	prot-0452	33.0	5	5	Negative
prot-0552	prot-0460	33.0	5	5	Negative
prot-0571	prot-0711	49.0	5	5	Negative
prot-0595	prot-0503	31.0	5	5	Negative
prot-0616	prot-0819	26.0	5	5	Negative
prot-0631	prot-0386	36.0	5	5	Negative
prot-0648	prot-0022	22.0	5	5	Negative
